"loc_id","scale","used","jrc_permanent_prop","jrc_semi_prop","jrc_temporary_prop","jrc_dry_prop"
159160,2,0,0,0.00891356624389514,0.00645407026080039,0.984632363495304
159211,2,0,1,0,0,0
159309,2,0,0,0,0,1
159669,2,0,0,0,0,1
159875,2,0,1,0,0,0
160531,2,0,0.134768798770195,0.0722757569044371,0.0194144596495687,0.773540984675799
161279,2,0,0,0,0,1
162173,2,0,1,0,0,0
162329,2,0,0.952360485685924,0.0476395143140757,0,0
163427,2,0,0.951017325545581,0.048982674454419,0,0
164272,2,0,0,0,0,1
165597,2,0,0.887286264415608,0.0180603089835995,0.00435160055348738,0.090301826047305
166450,2,0,0,0.0420318011637746,0.020754083546419,0.937214115289806
167816,2,0,0,0,0.00394216951497648,0.996057830485024
169202,2,0,0,0,0,1
175731,2,0,0,0,0,1
179096,2,0,0,0,0,1
179488,2,0,0,0,0,1
181445,2,0,0,0,0,1
183425,2,0,0,0,0,1
183816,2,0,0,0,0,1
185935,2,0,0,0,0,1
196545,2,0,0,0,0,1
198148,2,0,0,0,0,1
199821,2,0,0,0,0,1
199993,2,0,0,0,0,1
229,2,0,0,0,0,1
5855,2,0,0,0,0,1
6361,2,0,0,0,0,1
8638,2,0,0,0,0,1
10355,2,0,0,0,0,1
10598,2,0,0,0,0,1
12539,2,0,0,0,0.00829035127410719,0.991709648725893
13611,2,0,0,0,0,1
16171,2,0,0,0,0,1
16968,2,0,0,0,0,1
21798,2,0,0,0,0,1
23685,2,0,0,0,0.000727873680728954,0.999272126319271
23770,2,0,0,0,0,1
24337,2,0,0,0.00342354114873137,0.00920210283955343,0.987374356011715
31433,2,0,0,0,0,1
31700,2,0,0,0,0.000286846969672682,0.999713153030327
32985,2,0,0,0,0,1
35257,2,0,0,0,0,1
36144,2,0,0,0,0,1
36971,2,0,0,0,0,1
37560,2,0,0,0,0,1
38070,2,0,0,0,0,1
38871,2,0,0,0,0,1
39726,2,0,0,0.0118599585983716,0.00702855048198827,0.98111149091964
39972,2,0,0,0,0,1
41140,2,0,0,0,0,1
41263,2,0,0,0,0,1
41940,2,0,0,0.0452268005545035,0.0237140543698091,0.931059145075687
46977,2,0,0,0.0332801715872212,0.0172607904191886,0.94945903799359
48070,2,0,0,0,0,1
48094,2,0,0,0,0.0200601591044078,0.979939840895592
51080,2,0,0,0,0,1
53301,2,0,0,0,0,1
53409,2,0,0.0617619234031448,0.349675353163113,0.0234935869313337,0.565069136502409
56267,2,0,0,0,0,1
56350,2,0,0,0,0,1
57435,2,0,0,0,0,1
57652,2,0,0,0,0,1
59694,2,0,0,0,0,1
60318,2,0,0,0,0,1
64162,2,0,0,0,0,1
71287,2,0,0,0,0.00021516421107581,0.999784835788924
71951,2,0,0,0,0,1
73928,2,0,0,0,0,1
74077,2,0,0,0,0,1
75189,2,0,0,0,0,1
78983,2,0,0,0,0,1
79286,2,0,0,0.000286710705805864,0.000860132117417592,0.998853157176777
80975,2,0,0,0,0.000143377639835369,0.999856622360165
86819,2,0,0,0,0,1
93653,2,0,0,0,0,1
95240,2,0,0.0292612827699027,0.0332486321613931,0.00839661075301723,0.929093474315687
95553,2,0,0,0,0,1
97173,2,0,0.0502266820159976,0.134111544033745,0.0369081467426783,0.77875362720758
98043,2,0,0,0,0,1
103803,2,0,0,0,0,1
104089,2,0,0,0,0,1
