"loc_id","scale","used","forcat_prop","forest_prop","savanna_prop","wetland_prop","grassland_prop","ag_prop","pasture_prop","farming_prop","RLO_prop"
172203,2,0,0.609327250746452,0.609327250746452,0,0,0.251831561373865,0.000894365819092052,0,0.00179439730400641,0.000327259649640621
181769,2,0,0.56118988714625,0.56118988714625,0,0,0,0.0975290765819051,0,0.333898374443123,0.00799512845132395
183771,2,0,0.990690565135441,0.990690565135441,0,0,0.000150972630974198,0,0,0,0
189237,2,0,0.999163558713258,0.999163558713258,0,0,0.000836441286741913,0,0,0,0
197183,2,0,0.687820072113266,0.687820072113266,0,0,0,0.034444864811357,0,0.245252904938769,0
3187,2,0,0.944613135080719,0.944613135080719,0,0,0,0,0,0,0.00500483719150126
13691,2,0,0.960191987232784,0.960191987232784,0,0,0,0,0,0.0239779926633139,0.0034519818278358
17944,2,0,0.997982275515977,0.997982275515977,0,0,0,0,0,0,0
21536,2,0,0.0723789064827972,0.0723789064827972,0,0.101760873142885,0.669149837149579,0,0.156710383224739,0.156710383224739,0
21880,2,0,0.164145868872015,0.164145868872015,0,0.0671037123527971,0.768750418775188,0,0,0,0
25190,2,0,0.953647154052039,0.953647154052039,0,0,0.0163508441599881,0,0,0,0.0188626244367585
31180,2,0,0.030173588506686,0.030173588506686,0,0,0.871496252326711,0,0,0.0146359412718502,0.00270538745725658
35544,2,0,0,0,0,0.0101145999559579,0.989885400044042,0,0,0,0
37406,2,0,0.962649625252874,0.962649625252874,0,0,0,0.000967071879716846,0,0.0189329377639131,0
44244,2,0,0.892326776258865,0.892326776258865,0,0,0,0.0846116711843965,0,0.0979901294420355,0
47007,2,0,0.72871503681485,0.72871503681485,0,0,0.0200491774853949,0,0,0,0.215210069233489
52722,2,0,0.998955758846634,0.998955758846634,0,0,0,0,0,0,0
63667,2,0,1,1,0,0,0,0,0,0,0
66234,2,0,0.822055571453521,0.822055571453521,0,0.0429581258512131,0.11589753765563,0,0.000487871674170598,0.0190887650396351,0
75446,2,0,1,1,0,0,0,0,0,0,0
77337,2,0,1,1,0,0,0,0,0,0,0
