id,species,stop_id,start,end,duration,lon,lat
P66661,PESA,171,8/12/2019 23:37,8/29/2019 12:24,16.53,-69.43234617,-4.172923167
P66661,PESA,172,8/31/2019 11:49,9/9/2019 11:59,9.01,-64.18400009,-16.29005575
P66664,PESA,173,9/9/2019 19:49,9/10/2019 19:21,0.98,-62.479,-3.835
P66664,PESA,174,9/12/2019 10:55,9/16/2019 19:30,4.36,-62.46840005,-3.981000094
P66666,PESA,179,8/21/2019 20:32,8/29/2019 12:29,7.66,-65.86838456,-10.8296927
P66666,PESA,180,8/30/2019 11:26,8/31/2019 11:49,1.02,-62.858,-17.135
P66666,PESA,181,9/1/2019 20:04,9/6/2019 11:24,4.64,-63.28528639,-16.99414389
P66668,PESA,182,9/9/2019 11:21,9/13/2019 12:21,4.04,-63.91954578,-16.90381896
P66673,PESA,186,8/5/2019 12:22,8/10/2019 20:26,5.34,-76.27900002,-4.937333358
P66673,PESA,187,8/15/2019 12:18,8/18/2019 19:30,3.3,-71.14733323,-10.38516683
P66673,PESA,188,8/20/2019 20:50,8/27/2019 0:24,6.15,-66.90460013,-13.55940026
P66673,PESA,189,8/27/2019 23:22,9/5/2019 11:44,8.52,-66.16769227,-14.31407698
P66674,PESA,190,8/12/2019 18:56,8/22/2019 11:35,9.69,-64.00363628,-16.94045477
P66675,PESA,191,8/31/2020 20:26,10/23/2020 17:34,52.88,-61.35096453,-17.48635276
P66681,PESA,192,8/12/2019 23:32,8/17/2019 19:40,4.84,-64.13550055,-13.2820004
P66683,PESA,193,8/19/2019 0:48,9/2/2019 20:12,14.81,-75.87378571,-5.476714883
P66685,PESA,194,8/21/2019 0:50,8/28/2019 12:46,7.5,-74.30207697,-9.420923205
U146694,UPSA,198,9/1/2016 11:58,9/22/2016 12:01,21,-65.67388153,-13.479136
U146702,UPSA,199,10/15/2016 11:58,12/15/2016 12:01,61,-57.80337908,-13.14448235
U158662,UPSA,200,10/15/2016 11:58,12/1/2016 12:01,47,-55.52828158,-11.68790664
U158666,UPSA,201,10/4/2017 21:47,10/16/2017 14:19,11.69,-63.61890997,-13.59422802
U158667,UPSA,202,9/28/2016 6:56,12/12/2016 13:47,75.29,-54.87435742,-2.069994009
U207910,UPSA,204,9/29/2021 15:02,10/14/2021 15:00,15,-63.6828111,-16.59075832
U207912,UPSA,205,9/29/2021 15:02,10/31/2021 14:58,32,-65.55950777,-13.10708917
U207913,UPSA,206,9/23/2021 15:02,10/8/2021 15:00,15,-63.21634453,-15.96159568
U207916,UPSA,207,9/23/2021 15:02,10/5/2021 15:02,12,-76.22550204,-6.083479027
U207917,UPSA,208,10/5/2021 15:02,10/14/2021 15:00,9,-64.67552002,-15.30873587
U221493,UPSA,209,10/8/2021 0:53,10/12/2021 14:29,4.57,-76.80325414,-9.876944753
U233872,UPSA,210,9/25/2022 15:00,10/5/2022 15:00,10,-64.3164698,-14.7242794
U233881,UPSA,211,9/23/2022 21:49,9/28/2022 14:15,4.69,-65.02282005,-16.17218002
U233889,UPSA,212,10/23/2022 22:02,10/25/2022 22:25,2.02,-64.09824828,-13.47206844
U233890,UPSA,213,10/4/2022 12:53,10/11/2022 21:35,7.36,-68.55977725,-9.811030671
P52726,PESA,109,9/17/2018 11:17,9/30/2018 11:48,13.02,-64.89420021,-13.12120149
P52752,PESA,117,9/22/2018 23:50,10/3/2018 20:30,10.86,-75.00487494,-4.774250107
P52725,PESA,106,9/26/2018 0:25,10/4/2018 20:02,8.82,-71.22590905,-12.61772756
P66665,PESA,175,8/11/2019 19:07,8/16/2019 11:57,4.7,-64.31000531,-16.94300083
P66669,PESA,183,8/11/2019 23:57,9/9/2019 12:58,28.54,-69.53503458,-4.095034623
P66659,PESA,168,8/24/2019 12:34,9/5/2019 19:20,12.28,-64.41733332,-9.341500308
P66665,PESA,177,9/16/2020 9:30,9/24/2020 10:04,8.02,-64.90239941,-14.47140072
txs_158754,BBSA,326,9/18/2016 14:00,9/25/2016 13:58,6.998611111,-63.85619999,-17.17105001
txs_158770,BBSA,329,9/22/2016 14:00,9/25/2016 14:02,3.001388889,-65.80144999,-14.17375
txs_158772,BBSA,330,10/4/2016 14:00,10/10/2016 14:00,6,-68.90756667,-10.8969
txs_158772,BBSA,331,10/13/2016 13:58,10/16/2016 14:00,3.001388889,-64.50035,-16.9414
txs_158776,BBSA,332,10/13/2016 14:02,10/22/2016 14:00,8.998611111,-67.0409,-14.23136667
txs_158761,BBSA,327,10/30/2016 14:00,11/6/2016 14:02,7.001388889,-62.73410001,-17.3529
txn_169493,BBSA,319,10/3/2017 13:47,10/8/2017 13:41,4.995833333,-65.704,-13.481
txn_169495,BBSA,323,10/24/2017 14:52,10/31/2017 20:48,7.247222222,-69.44538442,-4.196077353
