"loc_id","id","species","stop_id","lon","lat","timestamp","lc","used","pair","sim"
53,"KCL","HUGO",56,-65.2178451530523,-15.9087430209452,"2019-08-26 20:16:00","G",0,5,0
54,"KCL","HUGO",56,-65.2192934086906,-15.9088641421546,"2019-08-26 20:16:00","G",0,5,0
55,"KCL","HUGO",56,-65.2315782879909,-15.9254964206619,"2019-08-26 20:16:00","G",0,5,0
56,"KCL","HUGO",56,-65.2178574,-15.9086723,"2019-08-26 22:32:00","G",1,6,0
57,"KCL","HUGO",56,-65.2241403487266,-15.9033806131764,"2019-08-26 22:32:00","G",0,6,0
58,"KCL","HUGO",56,-65.2185723403027,-15.9081676048913,"2019-08-26 22:32:00","G",0,6,0
59,"KCL","HUGO",56,-65.2190918778955,-15.908800270405,"2019-08-26 22:32:00","G",0,6,0
60,"KCL","HUGO",56,-65.2193657336143,-15.9084456566145,"2019-08-26 22:32:00","G",0,6,0
61,"KCL","HUGO",56,-65.2206063443116,-15.9121732948531,"2019-08-26 22:32:00","G",0,6,0
62,"KCL","HUGO",56,-65.2208753852224,-15.9004583291385,"2019-08-26 22:32:00","G",0,6,0
63,"KCL","HUGO",56,-65.2191091138717,-15.9077941015625,"2019-08-26 22:32:00","G",0,6,0
64,"KCL","HUGO",56,-65.2192735828328,-15.9076965978802,"2019-08-26 22:32:00","G",0,6,0
65,"KCL","HUGO",56,-65.2214553345923,-15.9077814094225,"2019-08-26 22:32:00","G",0,6,0
66,"KCL","HUGO",56,-65.2112618990884,-15.9052123894268,"2019-08-26 22:32:00","G",0,6,0
67,"KCL","HUGO",56,-65.2154999,-15.9077501,"2019-08-27 00:02:00","G",1,7,0
68,"KCL","HUGO",56,-65.2176850171742,-15.9084485503715,"2019-08-27 00:02:00","G",0,7,0
69,"KCL","HUGO",56,-65.2189460531043,-15.9072138522744,"2019-08-27 00:02:00","G",0,7,0
70,"KCL","HUGO",56,-65.2166401566651,-15.908400341495,"2019-08-27 00:02:00","G",0,7,0
71,"KCL","HUGO",56,-65.2212152352757,-15.9058200275966,"2019-08-27 00:02:00","G",0,7,0
72,"KCL","HUGO",56,-65.2171486737298,-15.9085758258996,"2019-08-27 00:02:00","G",0,7,0
73,"KCL","HUGO",56,-65.2181740758114,-15.9083653549026,"2019-08-27 00:02:00","G",0,7,0
74,"KCL","HUGO",56,-65.2171304389012,-15.9087526309354,"2019-08-27 00:02:00","G",0,7,0
75,"KCL","HUGO",56,-65.2089086030712,-15.9076590875459,"2019-08-27 00:02:00","G",0,7,0
76,"KCL","HUGO",56,-65.2180753100664,-15.9092657674196,"2019-08-27 00:02:00","G",0,7,0
77,"KCL","HUGO",56,-65.2287104503718,-15.907126499903,"2019-08-27 00:02:00","G",0,7,0
78,"KCL","HUGO",56,-65.2155533,-15.9077244,"2019-08-27 02:14:00","G",1,8,0
79,"KCL","HUGO",56,-65.2139497407934,-15.9090415730721,"2019-08-27 02:14:00","G",0,8,0
80,"KCL","HUGO",56,-65.2159106745561,-15.9075554391553,"2019-08-27 02:14:00","G",0,8,0
81,"KCL","HUGO",56,-65.2163890100569,-15.9077639471141,"2019-08-27 02:14:00","G",0,8,0
82,"KCL","HUGO",56,-65.2152173311061,-15.907557890954,"2019-08-27 02:14:00","G",0,8,0
83,"KCL","HUGO",56,-65.2141759882307,-15.9052305882876,"2019-08-27 02:14:00","G",0,8,0
84,"KCL","HUGO",56,-65.2145498390512,-15.9067638772799,"2019-08-27 02:14:00","G",0,8,0
85,"KCL","HUGO",56,-65.2160688754278,-15.9039086510031,"2019-08-27 02:14:00","G",0,8,0
86,"KCL","HUGO",56,-65.2163907265439,-15.9074841378967,"2019-08-27 02:14:00","G",0,8,0
87,"KCL","HUGO",56,-65.2158044775682,-15.907681682138,"2019-08-27 02:14:00","G",0,8,0
88,"KCL","HUGO",56,-65.2163671368205,-15.9075008222162,"2019-08-27 02:14:00","G",0,8,0
89,"KCL","HUGO",56,-65.2155228,-15.9077501,"2019-08-27 04:30:00","G",1,9,0
90,"KCL","HUGO",56,-65.2410308420557,-15.9360677487708,"2019-08-27 04:30:00","G",0,9,0
91,"KCL","HUGO",56,-65.2120967233354,-15.9187576407523,"2019-08-27 04:30:00","G",0,9,0
92,"KCL","HUGO",56,-65.2157088134752,-15.9080764734466,"2019-08-27 04:30:00","G",0,9,0
93,"KCL","HUGO",56,-65.2158103932304,-15.904326854979,"2019-08-27 04:30:00","G",0,9,0
94,"KCL","HUGO",56,-65.2154683164897,-15.9071915370032,"2019-08-27 04:30:00","G",0,9,0
95,"KCL","HUGO",56,-65.2156655149671,-15.907989486072,"2019-08-27 04:30:00","G",0,9,0
96,"KCL","HUGO",56,-65.2143710432051,-15.9093154175263,"2019-08-27 04:30:00","G",0,9,0
97,"KCL","HUGO",56,-65.2160091550501,-15.9076808335556,"2019-08-27 04:30:00","G",0,9,0
98,"KCL","HUGO",56,-65.2158623592838,-15.9079959518169,"2019-08-27 04:30:00","G",0,9,0
99,"KCL","HUGO",56,-65.2118506658517,-15.9080241198531,"2019-08-27 04:30:00","G",0,9,0
100,"KCL","HUGO",56,-65.2155228,-15.9077501,"2019-08-27 06:47:00","G",1,10,0
101,"KCL","HUGO",56,-65.2158031767076,-15.9074496403162,"2019-08-27 06:47:00","G",0,10,0
102,"KCL","HUGO",56,-65.2159542750369,-15.9077082001262,"2019-08-27 06:47:00","G",0,10,0
103,"KCL","HUGO",56,-65.215553633822,-15.9073166651763,"2019-08-27 06:47:00","G",0,10,0
104,"KCL","HUGO",56,-65.2005343473283,-15.8949293183807,"2019-08-27 06:47:00","G",0,10,0
105,"KCL","HUGO",56,-65.2177636448574,-15.9072137741434,"2019-08-27 06:47:00","G",0,10,0
106,"KCL","HUGO",56,-65.2051228065121,-15.918659026018,"2019-08-27 06:47:00","G",0,10,0
107,"KCL","HUGO",56,-65.2134498508508,-15.9044044579209,"2019-08-27 06:47:00","G",0,10,0
108,"KCL","HUGO",56,-65.2040583589713,-15.9690999539768,"2019-08-27 06:47:00","G",0,10,0
109,"KCL","HUGO",56,-65.2153671972179,-15.9107275422416,"2019-08-27 06:47:00","G",0,10,0
