"stop_id","scale","used","forcat_prop","forest_prop","savanna_prop","wetland_prop","grassland_prop","ag_prop","pasture_prop","farming_prop","RLO_prop"
17,2,1,0.000429400520388526,0,0.000429400520388526,0,0.99264770886757,0.00692289061204168,0,0.00692289061204168,0
18,2,1,0.0985904733015673,0.0985904733015673,0,0.145542303355086,0.20163323657495,0,0.00738144289359527,0.00738144289359527,0.546852543874801
19,2,1,0.192996530478411,0.192996530478411,0,0.00608592821297573,0.431746445799371,0,0,0,0.369171095509242
20,2,1,0.0197265957132839,0.0197265957132839,0,0.00372709041005021,0.187058901239131,0,0,0,0.789487412637535
21,2,1,0.0288735852668453,0.0288735852668453,0,0.0108936877384593,0.535679118295487,0,0.0280637407508082,0.0280637407508082,0.3964898679484
22,2,1,0.238670122149522,0.238670122149522,0,0.0573617455805262,0.0725673866899878,0,0,0,0.631400745579965
23,2,1,0.316788392582526,0.316788392582526,0,0.0138868193577662,0.13824630338008,0.00205431811651613,0.140205032587384,0.1422593507039,0.388819133975728
24,2,1,0.47098977452674,0.47098977452674,0,0.00934570242208307,0.112983494385662,0,0.391863539642266,0.391863539642266,0.0148174890232491
25,2,1,0.00154028192866125,0.00154028192866125,0,0.0735984319991814,0.0431866490532706,0,0.000358433922073935,0.000358433922073935,0.881316203096813
26,2,1,0.401594853785279,0.401594853785279,0,0,0.00204217061610589,0.0936112231842563,0.501765876944515,0.595377100128771,0.000985875469844223
27,2,1,0.0668070115864673,0.0668070115864673,0,0.0238695056481849,0.285972216990599,0,0,0,0.623351265774748
28,2,1,0.0121060515076479,0.0121060515076479,0,0.10456545060758,0.287185723956611,0,0,0,0.596142773928161
29,2,1,0.467195851588594,0.467195851588594,0,0.1312427093624,0.157745949676979,0,0,0,0.243815489372027
30,2,1,0.335807576088795,0.335807576088795,0,0.161637445369877,0.168564519600532,0,0.00107476002645736,0.00107476002645736,0.332915698914338
31,2,1,0.107957936976317,0.107957936976317,0,0.0144168845909775,0.114284935064132,0,0.000788660606866605,0.000788660606866605,0.762551582761707
32,2,1,0.797126402409799,0.797126402409799,0,0.076954416715172,0.123842784656513,0.00207639621851606,0,0.00207639621851606,0
33,2,1,0.181635593872335,0.181635593872335,0,0.191901717909307,0.578238973084347,0,0.0282013757426107,0.0282013757426107,0.0200223393914004
9,2,1,0.303636079522939,0.303492745322106,0.000143334200833137,0.0340241667083554,0.191869128567406,0.0025083485145799,0.104558926938342,0.107067275452922,0.363403349748378
10,2,1,0.0988843227978192,0.0130169294633973,0.0858673933344219,0.00134775875646792,0.135389530098137,0.289966471545321,0.468824490097937,0.762675956234142,7.09346713930485e-05
11,2,1,0,0,0,0.00205092718941466,0.00218640024756156,0,0,0,0.995762672563024
12,2,1,0.318131975939295,0.312340100874131,0.00579187506516372,0,0,0.657970963728058,0.0231992440597363,0.681170207787794,0.000697816272911292
13,2,1,0.171312465925122,0.171312465925122,0,0.22135799277191,0.0833203122804454,0,0.0715443156078396,0.0715443156078396,0.452464913414682
14,2,1,0.143897542172576,0.143897542172576,0,0.00928797443445681,0.380365604359276,0.00265230141613499,0.0321354357589265,0.0347877371750615,0.431661141858629
