"individual.local.identifier","species","stop_id","timestamp","lc","location.long","location.lat"
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216793927378,-15.201246739911
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216865373806,-15.2012019248305
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216515336195,-15.20117887443
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217914740524,-15.201186171194
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217522320376,-15.2012592435273
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216848210135,-15.2012051421777
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216502643422,-15.201235527358
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216395051004,-15.2011227325393
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216865188187,-15.2011870704126
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216482283751,-15.2010751844858
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3215709921175,-15.2012405648804
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217613531445,-15.2012447180566
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.32160743795,-15.2012709233805
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216987323531,-15.2012282474863
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217086876334,-15.2012450724012
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216642406597,-15.2011653616082
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3215914812827,-15.2011977364784
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.321687132727,-15.2011450792216
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217613475867,-15.2011224673825
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217186413547,-15.2011491999756
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.321666036111,-15.2012083349107
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216283370954,-15.2012340463928
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216525177971,-15.2011803782398
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216661851645,-15.2011672801199
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216558344044,-15.2012604764325
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217370614049,-15.2012305953752
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217089257847,-15.2012059097111
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216643170238,-15.2012352214329
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217821894683,-15.2011745076156
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3215962965652,-15.2012076125829
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217376024476,-15.2012207941101
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.321682409712,-15.2011826730422
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217353539332,-15.2010504831247
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3217118877004,-15.2012300168395
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216909621532,-15.2013344113133
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216090843872,-15.2012181873196
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3218170719441,-15.2012337158153
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.321727784383,-15.2012585006792
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216994964362,-15.2011631644803
"KCV","HUGO",57,2019-09-12 13:28:00,"G",-64.3216728552887,-15.201255709464
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3228371720167,-15.2032565095262
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3229093533634,-15.2033726488689
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.322904069706,-15.2033894307393
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.322942494548,-15.2033493640207
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3229737379219,-15.2032734055408
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3230109634175,-15.2033086799768
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3228877381747,-15.2032977699223
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3228944389659,-15.203337654931
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3229805672663,-15.2033009713834
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3230067687705,-15.2033463780129
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3229076520971,-15.2032552298424
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3228981898483,-15.2032605748107
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3228773109491,-15.2032666713694
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3229475846908,-15.2032148446886
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3228553602237,-15.2032492653284
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3229064043031,-15.2032339485694
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3229175883,-15.2033216601068
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3229022960275,-15.2032462743197
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3228915798228,-15.2033213732187
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3229308419673,-15.2032448438649
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3229563754948,-15.2032630166127
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3229083557827,-15.2034533759608
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3228196972057,-15.2032930356665
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3229493208937,-15.2033914145914
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3229260880871,-15.2032342478169
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3229733016949,-15.203432446272
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3229800493818,-15.2033559047281
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3230123133997,-15.2033220705405
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3230797874564,-15.2032990387931
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.322902119318,-15.2033075951945
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.32288528032,-15.2033447861039
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.3229422015509,-15.2033461371969
"KCV","HUGO",57,2019-09-12 15:45:00,"G",-64.322992746518,-15.2032559995264
