"stop_id","used","forcat_prop","forest_prop","savanna_prop","wetland_prop","grassland_prop","ag_prop","pasture_prop","farming_prop","RLO_prop","jrc_permanent_prop","jrc_semi_prop","jrc_temporary_prop","jrc_dry_prop","elevation","slope","id","species","start","end","duration","lon","lat","yearly_id","ipp_w"
53,1,0.176161279045481,0.176161279045481,0,0.0160348836629508,0.00261361539880696,0.00861786699066079,0.709341643991363,0.749617306870858,0.0555729150219034,0,0.00466212476543944,0.0553327449582292,0.940005130276331,178.665947321384,4.86155619854897,"KCH","HUGO",2019-10-01 08:38:00,2019-10-02 14:22:00,1.24,-62.4262200417627,-9.97075675529354,"KCH2019",1
54,1,0,0,0,0,0.969741774056158,0.0302582259438417,0.00636379470960516,0.0302582259438417,0,0,0,0.000303679660058407,0.999696320339942,103.587834868644,2.06044169716796,"KCH","HUGO",2020-09-01 09:45:00,2020-09-02 14:56:00,1.22,-61.2248887470777,3.79177500373325,"KCH2020",1
55,1,0.274864681385085,0.274864681385085,0,0.236728579971188,0.0953043015183267,0,0.11685812139007,0.0505367383263381,0.342565698799062,0.110167932430432,0.31306397970284,0.255418011005249,0.321350076861479,14.8427855202515,2.40271075980745,"KCH","HUGO",2020-09-04 20:47:00,2020-09-05 22:06:00,1.05,-60.57958,-3.34508,"KCH2020",1
56,1,0.100557696682139,0.100557696682139,0,0.000827659851275475,0.784328882813373,0,0.000586590588918252,0,0.114285760653213,0,0.0947878797058616,0.276626912847688,0.62858520744645,176.484512694598,2.1725570647967,"KCL","HUGO",2019-08-26 13:30:00,2019-08-27 08:59:00,0.81,-65.2172181957094,-15.9083590054493,"KCL2019",1
57,1,0.0090071043440525,0.0090071043440525,0,0.0130107443128202,0.539337418211297,0,0.165251006526457,0.381389859055698,0.0572548740761327,0,0.0385477903310683,0.132770113392138,0.828682096276794,167.470137950261,1.47054947223394,"KCV","HUGO",2019-09-12 13:28:00,2019-09-14 15:45:00,2.09,-64.3231705269521,-15.2027476891875,"KCV2019",1
64,1,0.399051111938124,0.399051111938124,0,0.000904469470676636,0.549413227136158,0,0.0669867445699346,0.0463175678256608,0.00431362362938088,0,0,0.0395879329857697,0.96041206701423,175.758453462338,2.31570687123783,"MKK","HUGO",2021-11-05 12:01:00,2021-11-08 00:02:00,2.5,-67.1416190669457,-14.0391466097726,"MKK2021",1
65,1,0.0305023807713366,0.0305023807713366,0,0.00138995292965285,0.900085277700331,0,0.03913004730248,0.0174090241740068,0.0506133644246725,0,0.0353961052428752,0.308485608127572,0.656118286629553,159.739445660133,1.52687403424026,"MKK","HUGO",2021-11-12 20:01:00,2021-11-14 21:48:00,2.07,-66.1765419742917,-14.2904420289912,"MKK2021",1
66,1,0.0012128465183232,0.0012128465183232,0,0.562894969455196,0.290651154304241,0,0.14526449638693,0.14524102972224,0,0,0,0.00260515177490965,0.99739484822509,151.788462663876,1.89392678513848,"MKK","HUGO",2021-11-20 16:02:00,2021-11-23 17:59:00,3.08,-65.6717915993815,-14.13060370711,"MKK2021",1
NA,0,0.609327250746452,0.609327250746452,0,0,0.251831561373865,0.000894365819092052,3.57922135425567e-05,0.00179439730400641,0.000327259649640621,0,0,0,1,2715.96987674779,33.7677068780483,NA,NA,NA,NA,NA,NA,NA,"MKK2021",10000
NA,0,0.56118988714625,0.56118988714625,0,0,0,0.0975290765819051,0,0.333898374443123,0.00799512845132395,0,6.91057472404449e-05,0.00502439432877587,0.994906499923984,888.267591305278,23.0908144621249,NA,NA,NA,NA,NA,NA,NA,"MKK2021",10000
NA,0,0.990690565135441,0.990690565135441,0,0,0.000150972630974198,0,0,0,0,0,0,0,1,1240.08126599369,22.5609474108972,NA,NA,NA,NA,NA,NA,NA,"MKK2021",10000
NA,0,0.999163558713258,0.999163558713258,0,0,0.000836441286741913,0,0.00709037906593843,0,0,0,0,0,1,595.094586501715,16.3728644519569,NA,NA,NA,NA,NA,NA,NA,"MKK2021",10000
